Name,Rating,Genre,Release Date,Runtime,Director,Url
Avatar: The Way of Water,77.0,"Science Fiction, Adventure, Action",12/16/2022,3h 12m,James Cameron,https://www.themoviedb.org/movie/76600
Violent Night,77.0,"Action, Comedy, Crime, Thriller",12/02/2022,1h 52m,Tommy Wirkola,https://www.themoviedb.org/movie/899112
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71.0,"Adventure, Family, Fantasy",12/08/2005,2h 23m,Andrew Adamson,https://www.themoviedb.org/movie/411
Glass Onion: A Knives Out Mystery,71.0,"Mystery, Thriller, Comedy",11/23/2022,2h 20m,Rian Johnson,https://www.themoviedb.org/movie/661374
Black Adam,72.0,"Action, Fantasy, Science Fiction",10/21/2022,2h 5m,Jaume Collet-Serra,https://www.themoviedb.org/movie/436270
Troll,67.0,"Fantasy, Action, Adventure",12/01/2022,1h 44m,Roar Uthaug,https://www.themoviedb.org/movie/736526
Avatar,76.0,"Action, Adventure, Fantasy, Science Fiction",08/27/2010,2h 42m,James Cameron,https://www.themoviedb.org/movie/19995
Savage Salvation,54.0,"Action, Thriller, Crime, Drama",01/13/2023,1h 41m,Randall Emmett,https://www.themoviedb.org/movie/740952
The Woman King,78.0,"Action, Drama, History",09/16/2022,2h 15m,Gina Prince-Bythewood,https://www.themoviedb.org/movie/724495
Prey for the Devil,72.0,"Horror, Thriller",10/28/2022,1h 33m,Daniel Stamm,https://www.themoviedb.org/movie/676547
The Big 4,68.0,"Action, Comedy, Crime",12/19/2022,2h 21m,Timo Tjahjanto,https://www.themoviedb.org/movie/683328
Strange World,65.0,"Animation, Science Fiction, Adventure, Family",11/23/2022,1h 42m,Don Hall,https://www.themoviedb.org/movie/877269
Guillermo del Toro's Pinocchio,84.0,"Animation, Fantasy, Drama",11/24/2022,1h 57m,"Guillermo del Toro, Mark Gustafson",https://www.themoviedb.org/movie/555604
A Frozen Rooster,83.0,"Animation, Adventure, Comedy",12/14/2022,1h 31m,"Rodolfo Riva Palacio Alatriste, Gabriel Riva Palacio Alatriste",https://www.themoviedb.org/movie/573171
My Name Is Vendetta,67.0,"Action, Crime, Thriller",11/30/2022,1h 30m,Cosimo Gomez,https://www.themoviedb.org/movie/873126
Puss in Boots: The Last Wish,79.0,"Animation, Adventure, Comedy, Family, Fantasy",12/21/2022,1h 42m,Joel Crawford,https://www.themoviedb.org/movie/315162
Black Panther: Wakanda Forever,75.0,"Action, Adventure, Science Fiction",11/11/2022,2h 42m,Ryan Coogler,https://www.themoviedb.org/movie/505642
High Heat,52.0,"Action, Comedy, Crime",12/16/2022,1h 24m,Zach Golden,https://www.themoviedb.org/movie/1015963
Detective Knight: Rogue,59.0,"Action, Crime",11/25/2022,1h 45m,Edward Drake,https://www.themoviedb.org/movie/1024546
Lesson Plan,64.0,"Crime, Thriller",11/23/2022,1h 41m,Daniel Markowicz,https://www.themoviedb.org/movie/1049233
The Independent,74.0,Thriller,11/02/2022,1h 48m,Amy Rice,https://www.themoviedb.org/movie/878183
R.I.P.D. 2: Rise of the Damned,66.0,"Fantasy, Action, Comedy, Crime",11/15/2022,1h 42m,Paul Leyden,https://www.themoviedb.org/movie/1013860
The Boss Baby: Christmas Bonus,67.0,"Animation, Family, Adventure",12/06/2022,47m,"Matt Engstrom, Christo Stamboliev",https://www.themoviedb.org/movie/1045944
Project Gemini,56.0,Science Fiction,01/06/2022,1h 38m,Serik Beyseu,https://www.themoviedb.org/movie/575322
Medieval,72.0,"History, Action, Drama",09/09/2022,2h 6m,Petr Jákl,https://www.themoviedb.org/movie/551271
The Seven Deadly Sins: Grudge of Edinburgh Part 1,82.0,"Animation, Fantasy, Adventure, Action",12/20/2022,52m,Noriyuki Abe,https://www.themoviedb.org/movie/989937
Hex,57.0,"Action, Horror, Thriller",11/01/2022,1h 28m,"Andy Malchiodi, Chris Johnston",https://www.themoviedb.org/movie/988233
Top Gun: Maverick,83.0,"Action, Drama",05/27/2022,2h 11m,Joseph Kosinski,https://www.themoviedb.org/movie/361743
Avatar: The Deep Dive - A Special Edition of 20/20,65.0,"Documentary, TV Movie",12/14/2022,41m,NA,https://www.themoviedb.org/movie/1059673
Night at the Museum: Kahmunrah Rises Again,70.0,"Animation, Comedy, Family, Fantasy",12/09/2022,1h 17m,Matt Danner,https://www.themoviedb.org/movie/751741
Blowback,62.0,"Action, Thriller, Crime",11/17/2022,1h 33m,Tibor Takács,https://www.themoviedb.org/movie/972313
Disenchanted,71.0,"Comedy, Family, Fantasy",11/18/2022,2h,Adam Shankman,https://www.themoviedb.org/movie/338958
Cop Secret,61.0,"Comedy, Action, Thriller",05/23/2022,1h 40m,Hannes Þór Halldórsson,https://www.themoviedb.org/movie/792775
Fall,73.0,Thriller,08/12/2022,1h 47m,Scott Mann,https://www.themoviedb.org/movie/985939
Beauty Salon: Special Services 4,20.0,Romance,12/01/2022,NA,NA,https://www.themoviedb.org/movie/721187
The Minute You Wake Up Dead,56.0,"Thriller, Crime",11/04/2022,1h 30m,Michael Mailer,https://www.themoviedb.org/movie/934641
Avatar: Creating the World of Pandora,73.0,Documentary,02/07/2010,23m,Thomas C. Grane,https://www.themoviedb.org/movie/111332
One Way,68.0,"Action, Crime, Thriller",09/02/2022,1h 36m,Andrew Baird,https://www.themoviedb.org/movie/747803
Monstrous,62.0,"Horror, Mystery, Thriller",09/29/2022,1h 29m,Chris Sivertson,https://www.themoviedb.org/movie/811656
Sniper: The White Raven,76.0,"War, Action, Drama",08/24/2022,2h,Marian Bushan,https://www.themoviedb.org/movie/966220
Polar,68.0,"Action, Adventure, Thriller",10/26/2022,1h 16m,Alberto Palma,https://www.themoviedb.org/movie/855440
Terrifier 2,70.0,"Horror, Thriller",10/28/2022,2h 18m,Damien Leone,https://www.themoviedb.org/movie/663712
Smile,68.0,"Horror, Mystery, Thriller",09/30/2022,1h 55m,Parker Finn,https://www.themoviedb.org/movie/882598
Emancipation,81.0,"History, Drama, Thriller, Action",12/02/2022,2h 12m,Antoine Fuqua,https://www.themoviedb.org/movie/715931
M3GAN,67.0,"Horror, Science Fiction, Thriller",01/06/2023,1h 42m,Gerard Johnstone,https://www.themoviedb.org/movie/536554
Avatar: Scene Deconstruction,78.0,Documentary,12/18/2009,NA,NA,https://www.themoviedb.org/movie/287003
Abandoned,65.0,"Horror, Mystery, Thriller",11/10/2022,1h 42m,Spencer Squire,https://www.themoviedb.org/movie/880841
Pinocchio,66.0,"Fantasy, Adventure, Family",09/08/2022,1h 45m,Robert Zemeckis,https://www.themoviedb.org/movie/532639
Jurassic World Dominion,69.0,"Adventure, Action, Science Fiction",06/10/2022,2h 27m,Colin Trevorrow,https://www.themoviedb.org/movie/507086
"Lyle, Lyle, Crocodile",77.0,"Comedy, Family, Music",10/07/2022,1h 46m,"Will Speck, Josh Gordon",https://www.themoviedb.org/movie/830784
The Darker the Lake,38.0,"Crime, Thriller, Mystery",03/10/2022,1h 40m,Lok Kwan Woo,https://www.themoviedb.org/movie/934957
Alien Sniperess,42.0,"Action, Science Fiction, Fantasy",04/08/2022,1h 34m,Joseph Mbah,https://www.themoviedb.org/movie/941520
Spider-Man: No Way Home,80.0,"Action, Adventure, Science Fiction",12/17/2021,2h 28m,Jon Watts,https://www.themoviedb.org/movie/634649
L'oubliée d'Amboise,68.0,"Crime, TV Movie",06/25/2022,NA,Sylvie Ayme,https://www.themoviedb.org/movie/937046
The Guardians of the Galaxy Holiday Special,74.0,"Comedy, Science Fiction, Adventure",11/25/2022,45m,James Gunn,https://www.themoviedb.org/movie/774752
Paradise City,57.0,"Action, Crime, Thriller",11/17/2022,1h 33m,Chuck Russell,https://www.themoviedb.org/movie/829799
All Quiet on the Western Front,78.0,"War, Drama, Action",10/28/2022,2h 27m,Edward Berger,https://www.themoviedb.org/movie/49046
Roald Dahl's Matilda the Musical,69.0,"Family, Comedy, Fantasy",11/25/2022,1h 57m,Matthew Warchus,https://www.themoviedb.org/movie/668482
Thor: Love and Thunder,67.0,"Fantasy, Action, Comedy",07/08/2022,1h 59m,Taika Waititi,https://www.themoviedb.org/movie/616037
Blade of the 47 Ronin,66.0,"Action, Fantasy",10/25/2022,1h 46m,Ron Yuan,https://www.themoviedb.org/movie/732459
Prey,78.0,"Thriller, Action, Science Fiction",08/05/2022,1h 40m,Dan Trachtenberg,https://www.themoviedb.org/movie/766507
A Not So Merry Christmas,68.0,Comedy,12/20/2022,1h 39m,Mark Alazraki,https://www.themoviedb.org/movie/1053419
Dangerous Game: The Legacy Murders,80.0,"Thriller, Horror",10/21/2022,NA,Sean McNamara,https://www.themoviedb.org/movie/1027385
Diary of a Wimpy Kid: Rodrick Rules,67.0,"Animation, Comedy, Family",12/02/2022,1h 14m,Luke Cormican,https://www.themoviedb.org/movie/897192
